n,burbuja_promedio,burbuja_mejor,burbuja_peor,quick_promedio,quick_mejor,quick_peor,insertion_promedio,insertion_mejor,insertion_peor,merge_promedio,merge_mejor,merge_peor
294,68600,100,54000,11200,14500,17100,7300,300,12800,24100,8400,13800
295,67800,100,68500,11000,14400,16500,7100,300,12900,19000,19300,14100
296,72800,200,54700,11000,13300,15700,7400,400,12800,18200,8800,21200
297,79800,200,55900,11100,13800,15400,7200,300,12900,24400,8800,11100
298,75200,100,56900,11300,13900,15800,7200,300,12300,18400,12000,10500
299,82200,200,56000,10600,14300,15600,6900,300,12700,37200,8900,13500
300,76400,100,56200,11300,36500,16700,7900,300,12500,17500,8100,10700
301,74700,200,56400,10900,14200,16200,7200,400,12800,20400,11300,10400
302,78400,100,57100,11100,13800,15900,7400,300,12900,21700,8900,13900
303,80500,200,57000,11800,14800,18000,7900,500,13300,19900,9700,11900
304,73800,100,57700,11300,15800,15900,7300,600,13100,22900,13300,14400
305,84300,300,67000,15600,24600,21000,10200,700,20100,32500,12100,16300
306,73200,200,58200,11200,13400,15500,7400,500,13300,19500,8600,10700
307,84300,200,58700,11400,14700,17000,7700,400,13400,21300,16800,15900
308,72700,200,59500,11800,15000,16400,7900,400,20600,25100,8800,14700
309,80800,100,59500,11400,14500,16700,7400,300,13200,22000,8900,11100
310,85300,100,59400,10800,13900,15500,7400,300,13800,19000,13700,10800
311,79200,200,60400,12100,23200,17000,8500,400,13800,18600,8500,11200
312,91900,100,60200,12400,14900,17000,8400,300,14000,30000,10200,16000
313,90100,300,60900,12000,15400,24500,8000,800,13800,19400,8600,14800
314,86200,200,59900,11200,14500,17500,8200,400,13400,18700,12000,11400
315,86000,200,59800,11000,14500,16300,8000,500,13800,18000,9200,20800
316,92200,200,63500,11200,26500,17600,8200,600,13800,23200,8700,17200
317,83100,200,62500,12300,15400,19000,8000,500,14200,19300,15000,11800
318,83400,200,62900,16000,15600,17500,8200,400,13600,19000,12000,13700
319,85300,100,63500,12000,15700,18300,8700,300,14200,39700,14600,17300
320,105000,100,64100,12800,15500,18500,8900,400,14000,27500,11400,24200
321,85300,200,64000,12100,14700,17800,8100,300,14000,18400,9000,11500
322,82300,200,64700,12200,15500,18300,8200,400,14300,19900,12300,11900
323,95300,400,64200,11300,15000,17700,8300,400,14200,19700,9600,11500
324,89700,300,64200,11400,15000,17200,8800,400,14200,25100,9000,14900
325,90300,400,65700,11800,16000,17300,8400,300,14300,23200,9100,14800
326,87500,200,65600,11100,15200,20000,8400,300,14500,19100,13800,11600
327,84800,200,66200,12200,17800,18400,8800,400,14600,21000,14500,11800
328,98000,300,65700,11800,15700,21300,8400,300,14500,27900,10400,11200
329,85100,400,66200,11900,16400,18400,8100,300,14700,26900,9300,15800
330,87100,200,67300,11900,17700,18600,9200,300,14800,24900,9800,22600
331,90200,200,68100,13200,16400,19700,8900,300,15000,18800,10300,12800
332,92100,100,68600,12600,16400,18900,8900,300,15100,22300,21500,14700
333,97500,200,69300,13100,15500,18500,8900,400,15200,20700,13500,15700
334,94600,100,73100,11800,16600,18400,8600,500,15400,20000,13600,12400
335,83900,100,69100,12200,15600,17700,9000,400,15300,26000,9600,15400
336,85600,200,70200,12600,16400,18400,8800,300,15100,23200,9800,14600
337,93200,200,70400,11900,16200,19700,8500,300,15400,24200,10200,15400
338,96100,200,70500,11400,19800,19400,8800,400,15300,19900,12400,13300
339,95900,400,70400,12400,15500,18200,9700,300,16100,21700,15600,12500
340,92400,200,71500,13000,16200,18800,9700,400,27900,20700,14700,34200
341,95700,200,71800,12900,18800,19300,8800,300,16200,22100,17400,12900
342,91100,200,72500,12600,16600,19500,9300,400,15700,20800,12800,14500
343,97500,200,72800,12600,15700,18000,9200,400,15800,21500,10100,14400
344,105400,100,72800,12400,16300,25600,9200,300,15800,24200,9500,12500
345,105500,200,72800,11900,16500,18900,9000,300,15900,24600,9400,18300
346,89900,200,73100,12600,16800,19100,9400,300,15900,23000,9300,15800
347,95400,200,74800,12800,16900,18900,10000,300,16200,24000,9600,19800
348,106300,100,75400,13800,20200,19800,9700,400,16300,25400,9900,15400
349,90500,200,75800,13000,16900,20500,10000,300,16600,24700,10100,15500
350,112400,200,75400,13200,19600,20700,9600,300,16500,20600,9700,17000
351,96100,200,77100,13800,17600,19900,9700,400,23600,24700,11000,14300
352,105000,100,76600,14100,16900,20900,9600,400,16900,26400,9900,12300
353,103600,200,77100,13600,18500,18900,9500,400,16800,20300,9900,12500
354,107200,200,77900,12900,18200,19200,10000,300,16800,21400,13200,12700
355,105200,200,77500,12300,15800,17700,9700,400,16700,20800,13500,12500
356,103100,200,77900,13200,17900,18100,10300,300,17000,20600,13300,12000
357,112400,200,78800,13900,19000,19300,10000,300,17000,20500,12600,12200
358,97700,200,79000,13500,19700,20600,10800,400,17200,22300,16200,12900
359,118500,100,80000,13100,17300,20300,9800,600,17600,23400,19000,14400
360,98900,200,80200,13400,17700,20900,9700,400,18000,22200,15500,14400
361,106000,200,80400,13600,17300,19700,9800,400,17600,22700,14700,13300
362,109300,200,81100,13400,18300,21000,10300,400,17800,21900,15000,13700
363,132800,100,81000,13300,18800,19600,10000,300,17500,21000,14200,16100
